similar,"n. 类似物
adj. 相似的"
run away,"na. 私奔；逃；弄不好
"
run away from sb.,"na. 学生从(学校)逃出；水兵从(船里)逃出；放弃(主义等)
"
run away from sth.,"na. 学生从(学校)逃出；水兵从(船里)逃出；放弃(主义等)
"
take away,"adj. 买回去的
"
throw away,"na. 抛弃；浪费；拒绝(劝告)；失去(机会)
"
account for,"na. 证明；由于；说明(银钱等的)用途；打死
"
apply for,"v. 寻求；申请
"
ask for,"na. 要(价)；来找
"
beg for,"na. 乞
"
call for,"na. 呼吁；主张；需要；接(某人)
"
care for,"v. 照顾；关心；喜欢
"
get ready for,"v. 作准备
"
go for,"na. 去喊；〈美〉拥护；被认为；袭击
"
go in for,"na. 赞成；寻求；参加
"
long for,"v. 渴望
"
look for,"v. 寻找；探索；渴望；盼望
"
hunt for,"na. 追猎；搜寻
"
make up for sth.,"v. 偿还；赔偿
"
run for,"na. 去叫(…)；做…的候选人
"
search for,"na. 寻找；寻求；探求
"
seek for,"na. 求；寻求；探究
"
speak for,"na. 代表…讲话；订购；要求得到
"
stand for,"na. 〈口〉忍耐；忍受；主张；拥护
"
take ... for example, 以…为例；打比方
wait for,"na. 等；等待
"
wish for,"v. 希望；想要
"
hope for,"un. 希望；期望:
"
come over,"na. 渡过来；(从敌方)过来；变挂；〔口语〕欺骗
"
get over,"na. 同“get across”
"
go over,"na. 仔细查看；仔细搜查；排练；重温
"
look over,"na. 浏览；检查；察看
"
make over,"na. 让；改造
"
take over,"na. 接管；继承
"
turn over,"na. ￡ 500 a week 每星期卖得五百镑
"
fall over,"na. 倒了；落在地上；(计算机)程序停止运行；跌倒
"
hand over,"v. 转交；递给；送交(警察或有关当局)处理；移交(权力等)
"
stay over,"v. 停留到
"
think over,"v. 仔细考虑
"
watch over,"na. 监视；留心；看护
"
agree with sb.,"na. 适合；赞同；与…一致
"
compare with,"na. 和…比较[对照]
"
deal with,"na. 办理；对待；与…交涉；与…交易
"
do with,"na. 对付；忍耐；与…相处
"
fall in love with,"na. 爱上
"
get along with,"na. (工作)进行
"
get away with,"na. 拿走；避开责备[惩罚]；〈俚〉卷(款)潜逃
"
get on with,"na. 同“get along ”
"
go with,"na. 同…一致；跟…谈恋爱；带有；领会
"
keep in touch with,"v. 与…保持接触
"
be concerned about,"na. 关心；挂念
"
bring about,"na. 造成；带来；【航】(使船)回转
"
care about,"v. 在意
"
come about,"na. 发生；(风等)变向；【航海】抢风调向
"
complain about,"v. 埋怨
"
set about,"na. 动手；开始；下手；着手
"
think about,"un. 思考；探讨；为…费心思；想像
"
worry about,"v. 发愁；担忧；为…发愁；替…担忧
"
apart from,"prep. 除了…外（都）；要不是；除了…外（还）；此外
"
be made from,"na. 由…制成的
"
break away,"v. 逃脱；突然离开；突然离去；挣脱
"
break away from,"v. 脱离；离开；断绝与…的关系
"
come from,"v. 来自；出身；归因于
"
die from,"na. 因伤致死
"
differ from,"na. 和…不一致；和…意见不同
"
be different from,"na. 和…不同
"
get away from,"v. 逃脱
"
hear from,"na. 得到…的消息
"
keep away from,"v. 远离
"
learn from,"v. 学习
"
prevent ... from, 防止；阻止；预防
result from,"v. 由于
"
run away from sb.,"na. 学生从(学校)逃出；水兵从(船里)逃出；放弃(主义等)
"
run away from sth.,"na. 学生从(学校)逃出；水兵从(船里)逃出；放弃(主义等)
"
suffer from, 患（某种病），受（某种病痛）折磨; 因…而受罚[苦，损]; 闹; 罹
accept sb.'s apology,无
accuse sb. of sth.,"un. 控告
"
accuse sb. of doing sth.,无
achieve one's goal,无
achieve success,"un. 取得成功
"
adapt oneself to,"na. 适应(环境)
"
adapt to the new environment,无
apologize to sb.,"v. 向…道歉
"
apologize to sb. for sth., 因某事向某人道歉
make an apology to sb.,无
make an apology to sb. for sth.,无
attempt to do sth., 试图；试图做某事；企图做某事
attend school,"na. 上学
"
attend university, 上大学
attend the meeting, 参加会议；出席会议；赴会
attract sb.'s attention,无
draw sb.'s attention,无
call sb.'s attention,引起注意
break one's promise,"un. 许配；违背…诺言
"
break out in tears,无
break the habit of,无
break the law,"na. 违法；犯法
"
break the rule, 违反规定；违反规则；打破规则
bring sth. to effect,"实行,实施,使生效,实现"
bring sth. into effect,"na. 使生效；使起作用；实行
"
bring sth. back to life,"使复活, 给…以活力"
bring sb. back to life,"使复活, 给…以活力"
brush one's teeth,无
burst into cheers,无
burst into laughter,"na. 放声大笑
"
burst out laughing,"na. 放声大笑
"
burst into tears,"na. 突然哭起来
"
can't help but do sth.,无
can't help doing sth., 禁不住做某事；情不自禁做某事；忍不住做某事
catch a glimpse of,"na. 瞥见；看一眼
"
catch fire,"na. 着火
"
catch sight of,"na. 看出
"
cause damage to ...,"na. 损害
"
change one's mind,"na. 改变想法
"
chat on line, 在线聊天；网上聊天；上网聊天
come to an end,"na. 完结
"
come to life,"na. 苏醒过来
"
come to power, 上台；掌权；执政
come into power,"na. 掌权
"
come true,"na. (预言等)成事实；实现；(作物)不变种地发芽生长
"
commit a crime,"na. 犯罪
"
date back to,"na. 回溯至
"
develop a lifelong friendship with sb.,无
display one's deep sympathy,无
do a good deed,"na. 行善
"
do business,"na. 做买卖
"
do housework, 做家务；做家务事；做家务活
do one's best,"na. 竭尽所能；尽力
"
do one's homework,"na. 做功课
"
do research on ..., 对…进行研究；在…上做研究；做…方面的研究
do sb. a favour, 帮忙；帮个忙；帮助某人
do well in ..., 擅长；在……方面做得好；在……干得好
do better in ...,无
do wrong,"na. 干坏事；犯罪；犯法
"
draw a conclusion,"na. 引出结论
"
draw attention to,"un. 促使…注意
"
earn a living, 谋生；谋生或维持生活；赚钱谋生
earn one's living, 谋生；营生；挣钱维持生计
make a living, 谋生；度日；维持生计
make one's living,"谋生, 挣钱度日, 维持生活"
earn money, 赚钱；挣钱；利用爱美之心赚钱
make money,"na. 赚钱；发财
"
fall asleep,"na. 入睡
"
fall ill,"na. 病倒；染疾
"
fall in love with sb.,爱上
follow sb.'s advice,无
take sb.'s advice,无
follow customs,无
follow sb.'s instructions,无
follow the rules,无
gain weight,"na. 体重增加
"
put on weight,"v. 长肉；发胖；发福；体重增加
"
lose weight,"un. 体重减轻
"
get close to, 接近；靠近；与接近
get hold of,"v. 抓住；捉住
"
get ready for,"v. 作准备
"
get rid of,"na. 除掉；摆脱；撵走
"
get dressed,"v. 穿衣服
"
be dressed, 穿着；穿好衣服；打扮
get lost,"int. 〈口〉滚开；别烦我
v. 迷路；迷失；陷入…而忽略了…
"
be lost, 迷路；丢失；迷失
get married,"na. 结婚
"
be married, 结婚；已婚；已婚的
get married to sb., 与某人结婚；和……结婚；与…结婚
be married to sb.,"un. 给…证婚；嫁给…
"
get tired of, 对……感到厌倦；厌烦；对……厌烦
be tired of,"v. 厌烦；厌倦
"
get used to sth.,"na. 变得习惯于
"
be used to sth.,"na. 惯于
"
get used to doing sth.,无
be used to doing sth.,无
give birth to, 生（孩子），生育; 引起，产生; 娩出; 娩
give sb. a hand,"un. 制住；帮着干一点
"
lend sb. a hand,"na. 帮忙；参加；帮助
"
go abroad,"na. 出国；到外国
"
go bad,"na. (食品,蛋等)坏掉
"
go Dutch,"v. 各自付费
"
go shopping,"na. 去买东西
"
go fishing, 去钓鱼；垂钓；我以前常去钓鱼
go sailing, 驾船航行；去航海；进行帆船运动
go camping, 去野营；去露营；宿营
go skating, 去滑冰；去溜冰；滑雪
go to a movie, 去看电影；会去看电影；看场电影
go to school,"na. 到校上课；上学去；开始求学
"
go to work,"v. 着手工作
"
go to see a doctor,无
go to sleep,"na. 入睡
"
have a break,"v. 休息一下
"
have a cold,"na. 伤风
"
have a cough,"v. 咳嗽
"
have a headache, 头痛；头疼；患头痛
have a fever,"n. 【医】发烧
"
have a gift for, 有某方面的天赋；对……有天赋；有……的天赋
have a good time,"na. 过得愉快；很愉快
"
have a great time,"na. 过得很愉快
"
have a wonderful time, 过得愉快；玩得高兴；玩个痛快
have fun,"na. 作乐
"
have great fun,无
have access to ...,"na. 得接近；得会见；得进入
"
have an effect on ...,(对…)有影响〔产生效果〕
have an effect upon ...,"n.对...有影响,对...有效"
have breakfast, 吃早饭；吃早餐；吃早点
have lunch, 吃午饭；吃午餐；吃中饭
have supper,"na. 吃晚饭
"
have lessons, 上课；有课；学生上课
have classes, 上课；下棋；到了上课的时间了
have no choice but to do sth.,"na. 除…外别无他法
"
have some difficulty with ...,无
have some trouble with ...,无
have some problems with ...,无
have a seat,"na. 留在原位不动
"
take a seat,"na. 坐下
"
have one's seat,无
take one's seat,"na. 就座；入座
"
hold a meeting,"na. 开会
"
hold a party, 召开宴会；举行聚会或酒会；开聚会
hold one's breath,"na. 屏息
"
keep a record, 保持记录；作记录；记录下来
keep records,vi.对...作记录
keep an eye on,"v. 密切注意
"
keep in touch with,"v. 与…保持接触
"
keep one's word,"na. 守约；履行诺言；说话算话
"
keep ... in mind,"na. 记在心里；记住；注意
"
lay eggs,"na. 产卵
"
lead a cosy life,无
have a cosy life,无
live a cosy life,无
lead an active life,无
have an active life,无
live an active life,无
lose control,"un. 掌管；失去自制能力
"
be out of control, 不自禁；忍不住；失掉控制
lose face, 丢脸，失去自尊与别人的信任，失去尊严/影响力/名望; 坍台; 现眼; 面上无光
lose heart,"na. 沮丧
"
lose one's life,"na. 死；丢了性命
"
lose one's sight,"na. 失明
"
lose one's voice,"na. 嗓子哑了
"
lose sight of ...,"na. 看不见了…；忘了…；失踪了
"
make ends meet, 使收支相抵；量入为出；收支平衡
make both ends meet,"na. 使收支相抵；量入为出
"
make use of ...,"na. 使用
"
make full use of ..., 充分利用；充分使用；充分应用
make the most of ...,"na. 充分使用；尽量使好[不好]看；极为重视；尽量称赞[贬损]
"
make the best of ...,"v. 充分利用
"
make a contribution to ...,"na. 捐赠；贡献给
"
make a great contribution to ...,无
make a difference,"na. 发生差别；使…有差别；(结果等)是重要的
"
make no difference,"un. 在意；没关系；没有差别；无动于衷
"
make a decision, 做出决定；做决定；作出决定
make a difference,"na. 发生差别；使…有差别；(结果等)是重要的
"
make a mistake,"na. 犯错误
"
make mistakes, 犯错；犯错误；出错
make a promise,"na. 约定；许诺
"
make fun of ...,"na. 嘲弄
"
make it,"na. 赶到；办成功；规定时间；〔美俚〕性交
"
make one's acquaintance,与某人结识
make one's way to ..., 往……走去；转向；向……走去
make progress,"na. 前进；进展
"
make progress in ..., 在……方面取得进步；在……取得进步；在……有进展
make sense,"na. (话等)有意义；合理；有道理；讲得通
"
make sure,"na. 尽力做到；深信；务必；务请
"
make up one's mind,"na. 决心 (to do)
"
obey the rules, 遵守规则；遵守规章；遵守规章制度
break the rules, 犯规
obey the law, 遵守法律；守法守纪；遵纪守法
observe the law,无
occur to sb., 想到；被想起；被想到
offer advice about ...,无
offer advice on ...,无
play a part,"na. 扮演…角色；假装
"
play a part in,"v. 贡献力量；起…作用
"
play a trick on sb.,"na. 跟(某人)开玩笑；欺骗
"
play football,"na. 踢足球；对难办的事采取踢皮球的态度
"
play basketball, 打篮球；玩篮球；篮球锻炼知多少
play the piano,"na. 弹钢琴
"
put an end to ...,"na. 结束
"
put one's heart into ..., 致力于某事；全神贯注于；全心全意投入
put ... to use,"na. 用
"
raise money for ...,为…募捐
return to normal,"un. 恢复正常
"
run a business, 做生意；经营生意；经营企业
run a restaurant,无
start a restaurant,无
satisfy the needs of ...,满足…的需要
meet the needs of ...,"v. 适应
"
save money,"省钱, 储蓄金钱, 节省资金
[经] 省钱"
save sb.'s life,无
serve in the army,"na. 服兵役
"
serve the dishes,无
serve the people,n. Serve the people heart and soul 全心全意为人民服务
set a goal, 设定目标；制定目标；树立目标
set foot on ...,"na. 踏上；“set foot on/in”的变体
"
set foot in ...,"na. 进入；“set foot on/in”的变体
"
set sail for,"na. 开船
"
set sb. free,"na. 释放；【化】使游离
"
set an example to ...,"v. 给…树立榜样
"
give an example to ...,"v. 给…树立榜样
"
set a good example to ..., 为……树立好榜样；给…树立了好榜样；为……树立榜样
give a good example to ...,"做…榜样,树立(好)榜样"
shake hands with sb., 与…握手；与某人握手；和……握手
start a fire, 点火；生火；引起火灾
stay the same, 保持不变；保持原样；保持原状
remain the same, 保持不变；保持原样；仍旧
support the family,无
raise the family,无
surf the internet, 上网；网上冲浪；上网冲浪
take advantage of,"na. 乘；利用；欺骗；引诱(女人)
"
take care of,"na. 照看；处理；清除
"
take care,"v. 当心；留心
"
take chances, 冒险；冒一冒险；碰碰运气
take a chance,"na. 冒险一试
"
take charge of,"na. 看守
"
take control of, 控制；掌管；取得对……的控制
take it easy,"na. “take things easy”的变体
"
take part in,"na. 参加；贡献
"
take place,"na. 发生；举行
"
take pride in,"na. 以…自豪；对…感到满意
"
take risks,"un. 冒险
"
take a risk,"na. 冒险；【保险】承保…的险；承受保险
"
take steps to do sth., 着手落实；采取措施做某事；采取步骤做某事
take measures to do sth., 采取措施做某事；采取措施去做；采取措施去做某事
take action to do sth.,无
take the place of sb.,"na. 接替某人的位置
"
take sb.'s place, 解构发生；就位
take turns to do sth.,无
take turns in doing sth.,无
take ... for example, 以…为例；打比方
tell a lie,"v. 说谎
"
tell the difference between A and B,无
tell the truth,"na. 说实话
"
tend to do sth., 倾向于做某事；倾向去做某事；倾向做某事
turn a deaf ear to ...,"na. 充耳不闻；装听不见[置若罔闻]
"
wait in line,"v. 排队等待
"
wait in a queue,无
stand in line, 站队；排队；站成一排
stand in a queue,无
on account of,"na. 因为
"
on average, 平均；平均起来；通常
on behalf of,"na. 替；为…的利益
"
on board,"na. 在船上；〔美国〕在车上；〈口〉【棒】出垒
"
on business,"na. 因公
"
on condition that,"na. 在…的条件下
"
if,"conj. （表条件）如果；即使；是否；（表假设）假如
n. 条件；设想"
on duty,"na. 在工作时间内；上班；值班
"
on earth,"na. 到底；在地球上；全然
"
on foot,"na. 步行；在进行中；徒步
"
on holiday,"na. 在休假中
"
on purpose,"na. 故意；意欲
"
on sale,"na. 出售的；上市的；出售(的)；廉价出售(的)
"
on the contrary,"na. 反之
"
on the whole,"na. 整体上说
"
on top of,"na. 在…之上；逼近；胜任(工作等)；掌握(情况等)
"
on the one hand ... on the other hand ..., 一方面…，另一方面…
in a flash,"na. 刹那间；瞬间；一下子
"
in a moment,"na. 立刻；立即
"
in a while, 一会儿；一段时间；一会儿之后
in a minute,"na. 马上
"
in a second,"na. 立刻
"
in a hurry,"na. 匆忙；〈口〉容易地；急于要；〔口语〕愿意地
"
in a word,"na. “in a few words”的变体
"
in short,"na. 简单地说；总之
"
in other words,"na. 换句话说
"
in addition,"na. 加之
"
in advance,"na. 预先；在先头
"
in all,"na. 总计
"
in total,"adv. 全部；完全
"
altogether,"n. 整个；裸体
adv. 完全地；总共；总而言之"
in all,"na. 总计
"
in case,"na. 以防万一；作为准备；如果；免得〔用作连词〕
"
in case of,"na. 要是
"
in charge,"na. 主任[主管]
"
in common,"un. 和…有相通之处；公有
"
in conclusion,"na. 最后
"
in danger,"na. 在危险中
"
in danger of,"un. 遭逢不测；有…的危险
"
in debt,"un. 背上了债；负债；欠款
"
in demand,"un. 要求；抢手
"
in detail,"na. 详细
"
in fact,"na. 事实上；总之
"
in reality,"na. 事实上；实在
"
in effect,"na. 实际上；总之；有效
"
as a matter of fact,"na. 事实上；事实是
"
in general,"na. 一般；大体上
"
in good condition,"na. 情况良好；健康；(物件)无破损；(食品)新鲜
"
in poor condition,无
in history, 在历史上；有史以来；在历史中
in nature,"na. 现在存在；事实上；究竟
"
in need, 在危难中；需要帮助的；在困难时
in one's opinion,"na. 据某人意见
"
in one's view, 依某人看来
in particular,"na. 特别；一一
"
in place,"na. 得其所；适当的
"
in practice,"na. 事实上；在实践中；在不断练习中；练习充足
"
in public,"na. 公然
"
in rags,"na. 成碎片；穿着破衣服
"
in return,"na. 作报复[报酬,回答,报答]；作替换
"
in silence,"na. 沉默着
"
in store,"na. 准备着
"
in the distance,"na. 在远处；在很远的那边
"
in the end,"na. 终于
"
in the meantime,"na. 在这期间
"
in the past,"na. 在过去
"
in the future,"adv. 今后
"
in the short term, 从短期来说；短期内；从眼前的观点看
in the long term,"na. 从长期看
"
in theory, 理论上；从理论上看；在理论上
in time,"na. 经过一段时间以后；早晚；在恰好的时候；和…合拍
"
in total,"adv. 全部；完全
"
in trouble,"na. 为难；被捕；未婚怀孕
"
in turn,"na. 挨次
"
in vain,"na. 无益地；轻慢地
"
in shape,"un. 完全不；情况；模样
"
out of shape,"adj. 变形
"
in fashion,"na. 时新的
"
in front of,"na. 在…的前面
"
in the front of, 在……的前部；在……的前面；在里面的前面
in front,"na. 在前方；在人注意的地方
"
in face of,"v. 当面对
"
in favour of,"na. 赞成；有利于；付与
"
in honour of,"na. 向…表示敬意
"
in memory of sb.,"na. 纪念…
"
in need of,"adj. 需要
"
in possession of,"prep. 占有
"
in praise of,"na. 称赞[赞美,歌颂]…
"
in search of,"na. 寻找；去找；追求；为了寻求
"
in spite of,"na. spite of 不管；〔古语〕无视
"
despite,"prep. 尽管，不管
n. 轻视；憎恨；侮辱"
regardless of,"prep. 不管；不顾；不理会
"
in terms of,"na. 依…；从…方面；用…特有的字眼
"
in the name of,"na. 凭…的名；为…的缘故；作…的代表
"
in the form of,"na. 用…的形式
"
in view of,"na. 鉴于；为要；在…能看见的地方；估计[预料]到才
"
in contrast to,"un. 相形之下；与…相比；与…相反；与…对比
"
in order to,"na. 为了；从而；以便
"
in relation to,"na. 关于…
"
in response to,"na. 应…而
"
in reply to,"na. 为答复…；作为…的答复
"
in contact with,"prep. 和…联系
"
in harmony with,"un. 协调一致地；跟…调和；和衷共济；与…相合
"
in exchange for,"na. 换
"
out of breath,"na. 大喘气
"
out of control,"na. 失去控制
"
lose control,"un. 掌管；失去自制能力
"
out of date,"adj. 过时的；缺乏新信息的；陈腐的；失效的
"
out of order,"na. 杂乱无章；不合规则；情况反常；有故障
"
out of place,"na. 不得其所的；不适当的；不相称的；碍事的
"
out of reach,"adj. 够不着的；无法连络的；超出范围的
"
out of one's reach,无
out of sight,"adv. 无影无踪
"
out of work,"na. 失业；(机器等)有毛病
"
out of question,"na. 不在考虑之列；根本不可能
"
out of the question,"adv. 不可能
"
home and abroad,"un. 国内外
"
at home and abroad,"na. 在国内外
"
at a loss,"na. 无办法；(猎犬)失去猎物嗅迹；亏本地
"
at ease,"na. 自由自在；=stand at ease.
"
at last,"na. 终于
"
at length,"na. 最后；充分地
"
at most,"na. 至多
"
at once,"na. 立刻；同时
"
right away,"na. 立刻
"
right now,"na. 目前；方才
"
at present,"na. 目前
"
at random,"na. 碰运气地；无目标地
"
at risk,"un. 担风险
"
at the age of ...,"na. 在…岁时
"
at the cost of,"na. 以…为牺牲
"
at the same time,"na. 同时；另一方面；与此同时
"
meanwhile,"adv. 同时，其间
n. 其间，其时"
at times,"na. 时时
"
at war,"na. 在战争中
"
for a moment,"na. 片刻
"
for a while,"adv. 片刻
"
for a minute, 一会儿；如果你不停留片刻
for ever,"adv. 永远地；永恒地；〈非正式〉无休止地；永无止境地
n. 永恒；相当长的时间
"
for good,"na. 永久地
"
for example,"na. 例如
"
for instance,"na. 例如
"
for fear of,"na. 因为怕；唯恐
"
for fear that,"na. 生怕
"
for free, 免费地；免费的；为了免费
for sure,"adv. 确实
"
for the first time,"na. 第一次
"
for the first time ever,无
for the reason, 因为；因为某种原因；为了一个理由
for the sake of,"adv. 为了…起见
"
for the time being,"na. 暂时；一时；临时；在目前
"
"for one thing ..., for another ...",无
from time to time,"na. 时时
"
from now on,"na. 从今以后
"
from then on,"na. 从那时起
"
from that moment on,从那时起
from one generation to another,无
from the bottom of one's heart,"na. 自心底
"
by accident,"na. 偶然 (opp. on purpose)
"
by chance,"na. 偶然
"
by and by,"na. 不久以后
"
by coincidence,"adv. 刚巧
"
by contrast,"un. 相比之下；作对比；与此相反
"
by mistake,"na. 因错误
"
by nature,"na. 生就；从本性上说
"
by the end of,"prep. 在…尽头
"
by the time,"na. 到…的时候
"
by the way,"na. 见 way 条
"
by means of sth.,"na. 以
"
by means of doing sth.,无
by all means,"na. 必定；千方百计；不惜一切；好的
"
in all ways, 在各方面，完全地；从各方面说；透过各种方式
by no means,"na. 决不；并没有
"
in no way,"na. 决不
"
by this means, 通过这种方式；用这种方法；用这种方式
in this way,"na. 用这个办法
"
by air,"na. 用[坐]飞机；用无线电
"
by boat,"na. 乘船
"
by bus,"na. 乘公共汽车
"
by train,"na. 坐火车
"
according to,"prep. 根据；按照；据（…所说）；按（…所报道）
"
around the corner,"na. (= 〔英国〕 round the corner)在拐角那里
"
around the clock,"na. 夜以继日地
"
because of,"na. 因
"
due to,"un. 由于；预定；因为；亏
"
thanks to,"v. 感谢；幸亏；多亏
"
along with,"na. 与…一道；以外
"
except for,"na. 只有
"
in this way,"na. 用这个办法
"
instead of,"prep. 代替；作为…的替换
"
next to,"prep. 紧邻；在…近旁；仅次于；紧接
"
regardless of,"prep. 不管；不顾；不理会
"
under arrest,"adv. 逮捕起来；禁闭
"
under attack,"adv. 遭到攻击
"
under fire,"na. 在炮火下；受到攻击；在弹雨下
"
under construction,"na. 建筑中
"
under control,"un. 失去控制；被控制住；克制；在控制之下
"
under discussion,"un. 正在讨论中
"
under repairs,"在修理中(的),在修缮中"
up to date,"adj. 现代的；最新的；时髦的；新式的
"
up to now,"na. 到现在为止
"
up to,"na. 干(着)；到；胜任；…的责任
"
with regard to,"na. 关于；对于；为了答复；“in/with regard to”的变体
"
in regard to,"na. “in regard of”的变体
"
with the help of,"prep. 借助于
"
with the purpose of,"prep. 目的为
"
of one's own,"na. 自己的
"
on one's own,"na. 独自地；独立地；凭自己力量；主动地
"
by oneself,"na. 单独；独自；独力
"
be crazy about,"v. 迷上
"
be curious about,"na. 对(某事物)感到好奇
"
be excited about, 对……感到兴奋；为…感到激动；关于……而兴奋
be particular about,"v. 对…讲究
"
be aimed at, 针对；旨在；针对某人
be amazed at,"na. 对…大为惊异
"
be good at,"v. 善于
"
be common for,无
be fit for,"na. 适于
"
be suitable for,"v. 合适
"
be honoured for,无
be qualified for,"na. 有…的资格；适于担任…
"
be responsible for,"v. 负责；担负
"
be to blame for, 对…应负责任；应受责备；对……有罪责
be harmful to sb., 对…有害；对…有危害；对……是有害的
do harm to sb.,"v. 损害
"
harm sb.,(T 接头之)H平面臂
be lost in,"v. 迷恋
"
be involved in,"na. 被包入；被卷入漩涡
"
be ashamed of,"na. 以为…是耻辱
"
be aware of,"na. 知道
"
become aware of,"na. 发觉
"
be fond of,"v. 爱好
"
be full of,"na. 充满…(的)
"
be jealous of,"v. 妒忌
"
be made up of, 由…构成；组成；由…组成
be proud of,"na. 以…自豪
"
be short of, 缺少；缺乏；短缺
be sure of,"na. 确信
"
be sure about,"un. 就象…一样地不容怀疑。；把握
"
be tired of,"v. 厌烦；厌倦
"
get tired of, 对……感到厌倦；厌烦；对……厌烦
be uncertain of, 对…不定的；不确定；不确知的
be uncertain about, 对---没有把握；对…不确定；他没有把握能准时完成任务
be accustomed to sth.,"na. 惯于(苦干,早起)
"
be accustomed to doing sth.,无
be used to sth.,"na. 惯于
"
be used to doing sth.,无
be addicted to,"na. 嗜好
"
be equal to,"na. 等于；胜任；赶得上；忍耐得住
"
be grateful to,"v. 感谢
"
be loyal to,"v. 忠实于
"
be faithful to, 忠于；对……忠诚；忠诚于
be devoted to,"v. 献身于
"
be opened to,无
be related to,"na. 和…有(亲戚)关系
"
be similar to,"na. 像
"
be up to sb.,"un. 面对；在干；居心
"
be angry with sb.,"na. 对…生气；生(某人)的气
"
be angry with sb. for sth.,无
be armed with,"na. 用…武装着；装备着
"
be bored with,"v. 厌烦
"
be busy with sth.,"v. 忙于
"
be busy doing sth.,"na. 忙着干(某事)
"
be occupied with sth.,"v. 忙着
"
be occupied in doing sth.,无
be blessed with, 幸运地享有；有幸得到；享有的
be equipped with,"na. 安置着；身上穿着
"
be faced with,"v. 面临
"
be fed up with,"na. 吃…吃得过饱；厌倦
"
be linked with, 和……相连接或联系；和…联系
be pleased with,"na. 喜欢
"
be satisfied with,"v. 满足于
"
be content with,"na. 以…为满足
"
feel content with,vi.对...感到满足
be content to do sth.,无
be popular with,"na. 受…欢迎
"
be strict with sb., 对……严格要求；对…要求严格；对某人要求严格
be surrounded with,"vt.被...围着,四周环绕着"
be surrounded by,"na. 被…环绕着
"
be eager for,"v. 迫切要
"
long for,"v. 渴望
"
be dying for,"na. 对…想得要死
"
be absent from,"na. 不在(家)；缺(工)
"
be different from,"na. 和…不同
"
be free from,"v. 免除
"
be badly off,"na. 生活困难；贫穷；运气不佳；没钱
"
be well off,"na. 生活好过
"
be eager to do sth., 渴望做某事；急于做某事；急欲
be familiar with,"na. 精通；同…相好
"
get familiar with,"v. 熟悉
"
be familiar to sb.,"v. 熟悉
"
be famous for,"v. 因…出名
"
be famous as,作为…而闻名遐迩
be afraid of,"na. 怕
"
be afraid to do,"na. 怕
"
be reduced to ..., 沦为；沦落为；转化为
be reduced by ..., 降低了；较少了；被减少了
be worth doing sth.,值得做……
be worthy of sth., 值得；配得上；对得起
be worthy of being done, 某事值得干；某事值得被做；值得做
be worthy to be done, 某事值得被做；值得做；值得做某事
be about to do sth., 即将做某事
be bound to do sth., 注定；一定会做某事；必然
be delighted to do sth.,无
be desperate to do sth.,无
be determined to do sth., 决心做某事；下定决心做某事；下决心做某事
determine to do sth., 决定做某事；决心做某事；动作
be forced to do sth.,无
be likely to do sth.,无
be supposed to do sth.,"na. …(在职务上)要；〈口〉不许
"
be used to do sth.,无
be willing to do sth.,"na. 乐意进行
"
be able to do sth., 能够做某事；能做某事；有能力做某事
be of benefit,"na. 有益
"
be of great importance, 很重要；非常重要；具有很大重要性
be of great value,无
be of use,"na. (非常)有益
"
be of no use, 无用；没用的
be on good terms, 关系好；要好；关系很好
be on good terms with sb., 关系很好；与；与某人关系好
be stressed out,"na. (因心理压力过重而)精疲力尽的
"
all in all,"na. 全部；完全；第一
"
hand in hand,"na. 手拉手；联合
"
back to back,"na. 背对背
"
face to face,"na. 面对面
"
one by one,"na. 一个一个；一个一个地
"
side by side,"na. 并排着
"
again and again,"na. 再三再四
"
over and over again,"na. 翻来覆去
"
time and time again,"na. 常常；反复
"
all one's life,"na. 毕生；终生
"
all over,"adj. 满
n. 全花织物
"
all over the world,"adv. 遍及全世界
"
all throughout the world,无
all over the country, 遍及全国；全国各地；整个国家
all throughout the country,无
all the same,"na. 依然；“all/just the same”的变体
"
all the time,"na. 始终；〔美国〕老是
"
all the way,"na. 路上一直；老远；〈美〉(从…到…)逐一
"
all together,"adv. 一起
"
all year round, 全年；一年到头；终年
throughout the year, 一年到头；无冬无夏；一年四季；终岁
above all,"na. 最主要的；最重要的是
"
ahead of,"prep. （时间、空间）在…前面；早于；领先
"
far away,"adj. 远方的；老早老早以前的；(眼色,神情等)走神的
"
far from,"na. 远离；决不
"
one after another,"na. 一个又一个地；陆续；相继
"
pretty well,"adv. 相当好
"
well off,"adj. 富有的；富裕的；境况良好
"
badly off,"adj. 穷困的；拮据的；境况不佳的
"
before long,"na. 不久；不(需很)久
"
day after day,"na. 天天；一天又一天
"
day by day,"na. “day after day”的变体
"
day and night, 夜以继日地， 日夜; 不舍昼夜; 日日夜夜; 白天黑夜
just now,"na. 刚才；正在
"
just then,"na. 正在那时
"
later on,"na. 过后；后来
"
now and then, 偶尔；时而；不时
once in a while,偶尔；有时（等于every once in a while）
once more,"na. 再一次；“once again/more”的变体
"
once again,"na. 一再；再一次；“once again/more”的变体
"
once upon a time,"na. 从前；很久很久以前；古时候
"
one day,"na. 有一天；(过去或将来的)某一天
"
some day,"adv. 总有一天；有朝一日；将来
"
sooner or later,"na. 迟早；早晚
"
so far,"na. 就是那么些；到现在为止；到目前(此地)为止；就此范围来说
"
the day after tomorrow,"na. 后天
"
the day before yesterday,"na. 前天
"
