abolish,vt. 废除，废止；取消，革除
be bound up with,"na. 与…有密切联系；与…结合在一起；和…有密切关系
"
discharge from ...,"na. 解(雇)；免(职)；使出(医院)；使出(狱)
"
be confident of,"na. 对(成功)满怀信心
"
in the form of,"na. 用…的形式
"
of no account,"na. 不重要的
"
in advance,"na. 预先；在先头
"
be occupied with,"v. 忙着
"
be true to, 忠实；忠于；忠实于
proceed from,"un. 来到；发生:
"
bear in mind,"na. 记住；铭记不忘；注意
"
bear ... in mind,"na. 记住；铭记不忘；注意
"
keep in mind,"na. 记在心里；记住；注意
"
keep ... in mind,"na. 记在心里；记住；注意
"
be free from,"v. 免除
"
to the point,"na. 露骨；中肯
"
play ... off against ..., 完成同其他优胜者的平分比赛; （使）相互争斗以坐收渔利
be stuck in, 陷入；陷进；陷于
get into the habit of,"na. 养成某种习惯
"
be exclusive of ...,"除去,不包括…"
comment on ...,"v. 评论
"
respond to,"v. 响应
"
in honor of,"na. 向…表示敬意
"
at the cost of,"na. 以…为牺牲
"
on one's own account,"na. 独自地；独立地；凭自己力量；主动地
"
in hopes of,"na. 希望着
"
charge sb. with sth.,"na. 托付；使负…的罪名；使受…的责备
"
fall into the habit,无
fall into the habit of,"na. 养成某种习惯
"
find fault with,"na. 吹毛求疵；找…的岔子
"
in condition,"un. 病势很重；高兴；健康状况好
"
in out of condition,无
a string of,"det. 一串；一系列
"
shed light on,"na. 阐明；解释；将…弄明白；照亮
"
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
"
be in the right, 正确的；站在正义与真理一边；有理
in the air,"na. (计划等)悬着；在空中；(谣言等)流传；【军】无掩护的
"
with the exception of,"na. 除…外
"
expose ... to ...,"un. 暴露于
"
at the sight of,"na. 一看见就
"
at the thought of,"na. 一想到
"
for short,"na. 简称
"
at peace with ..., 与…和睦相处；与…和平相处；自在安详
be at peace with ...,"v. 和…和平相处
"
occupy oneself with, 从事；忙于某事；忙于做某事
occupy oneself in, 忙于；从事于；专心于
up in the air,"na. 悬而未决的
"
be tempted to do sth.,无
equivalent to,"v. 等于N；相当于N
"
be equivalent to,"na. 等于；相当于
"
conceive of,"na. 想出(计划)
"
word for word,"adv. 逐字翻译
"
be eager for,"v. 迫切要
"
do away with,"na. 废除；干掉
"
throw ... into ...,"na. 使投身于
"
behind one's back, 背后；在某人之背后；背着某人
compare ... to ...,"un. 核对记录；商量了一番；比较；和…相仿
"
go short of,"v. 缺乏
"
at will,"na. 任意；随意
"
be content with,"na. 以…为满足
"
beyond expression,"na. 形容不出；无法表达
"
on a diet,"adj. 在节食
"
in good condition,"na. 情况良好；健康；(物件)无破损；(食品)新鲜
"
in bad condition,"un. 状态恶劣
"
answer for,"na. 负…的责任；负责(受处分)；代(被问人)回答
"
make sense,"na. (话等)有意义；合理；有道理；讲得通
"
in connection with,"prep. 与…相关
"
be in use, 在使用中；使用之中；投入使用
be used, 被使用；被用做；被动表示被使用
catch sight of,"na. 看出
"
catch the sight of,无
in dispute,"na. (在)争论中的
"
consult sb. on sth., 商量
consult sb. about sth.,就…向(某人)请教〔询问〕
turn a blind eye to,"na. 对…熟视无睹；假装不见
"
hunt for,"na. 追猎；搜寻
"
long for,"v. 渴望
"
be equipped with,"na. 安置着；身上穿着
"
in response to,"na. 应…而
"
in demand,"un. 要求；抢手
"
get the better of,"na. 胜过
"
give sb. an account of,"na. 叙述；说明
"
on faith,"un. 丧失对…的信心；盲目地(相信)；一厢情愿
"
beat ... at,大声敲(门等); 在(比赛)中击败(某人)
to the purpose,"na. 剀切地
"
objection to, 反对；反对某事；对……反对
objection to doing sth.,无
abundant in,"adj. 富于
"
be abundant in,丰富的，富裕的
there is no point in doing sth.,无
for a change,"na. 为了改变一下
"
in public,"na. 公然
"
in difficulty, 处境困难；处于困境；在困境中
detach from,"v. 分离自
"
beyond hope,"na. 毫无希望
"
have sb. by the throat,扼住喉咙；扼杀
throw light on,"na. 弄明白
"
beyond reason, 毫无道理；超越理由；理智之外
beyond all reason, 没有道理的；不合理的；毫无道理
forge ahead,"na. (不停地)努力前进；(赛跑)努力赶上
"
fall short of,"na. “come short”的变体；“fall short”的变体
"
in relation to,"na. 关于…
"
with relation to,"na. 关于…
"
react on,"v. 对…有反应
"
react upon,vt.影响
on the spot,"na. 当场；立刻；【商业】用现货[现款]；(人)准备妥当
"
make out,"na. 理解；发现；起草；证明
"
confine to,"v. 限于
"
be obliged to,"na. 感谢；不得已而…
"
be obliged to sb.,"na. 感谢；不得已而…
"
participate in,"v. 参加；分享
"
be liable for, 对…应负责任的；对…负责；有责任
cast off,"na. 脱掉(衣服)；放弃；【航】放(船)；【印,纺】织完
"
invest ... in,"v. 投资到
"
keep company with,"na. 和…常来往；同…结伴
"
at the back of,"na. 在…背后
"
place an emphasis on,无
at all events,"na. 无论怎样；总之
"
extract from,"un. 榨出(汁等)；提取:；拔取；拔出
"
arrange for sb. to do sth.,无
in excess of,"na. 超过
"
be identical with,"v. 与…相同
"
for the benefit of,"na. 为…(利益)打算；〔反意语〕为惩戒…
"
be cautious of,"na. 留意
"
be anxious about,"na. 担忧(某人健康)；害怕(结果)
"
charge ... for ...,"un. 索价
"
stand down,"na. 【法】退出证人席位；暂时辞退；【军】不在值勤中
"
expect of, 对…期望；对……表示期待；期望会作出
fall back,"na. 后退；下降；减少
"
favorable to,"un. 赞成
"
be favorable to,"v. 有利于
"
at first glance,"adv. 初看起来
"
at first sight,"na. 乍看；一见就；乍看起来
"
compare ... with ...,"na. 和…比较[对照]
"
have a word with sb.,"na. 和…说一句话
"
rely on,"v. 依靠；信赖
"
be particular about,"v. 对…讲究
"
be particular over,讲究
accord with,"na. 和…一致
"
in accord with,"un. 符合；与…和谐；一致；与…观点一致
"
in consideration of,"na. 因；以作…的谢礼
"
in proportion to,"na. 与…成比例；与…相称；按…的比例(越…越…)
"
contrast ... with ...,"un. 对比
"
on the decline,"na. 没落；在低落中；在衰退中
"
feel equal to ...,"na. 以为能承担
"
admit of,"na. 容有…的余地
"
in the interests of,"na. 为了…的利益
"
be absent from ...,"na. 不在(家)；缺(工)
"
interfere with,干扰，干涉；妨碍；触动或弄坏；乱动；与……抵触
put ... down to ..., 归因于；说…因而起；归因为
attend to,"na. 照料(工作)
"
on business,"na. 因公
"
with a will,"na. 热心
"
on account of,"na. 因为
"
pile into,"v. 蜂拥而入
"
