a bit,"na. 有点儿〔作副词用〕
"
run down,"na. 下乡；(钟表等)停止；衰弱；赶上(人,猎物)
"
run dry,"na. 干涸；(奶,水等)不出；在干燥的情况下操作；(乳牛)不产奶
"
run for,"na. 去叫(…)；做…的候选人
"
run into,"na. 冲进；(河)注入(海)；撞上；到达
"
run low,"na. 减少；消耗尽；缺乏
"
run off,"na. 逃走；流出；(火车等)出轨；越轨
"
run out,"na. 耗尽；用光；过有效期；失效
"
run over,"v. 轧过；碾过；演练；排练
"
run parallel to,"v. 和…平行
"
run parallel with,与…平行
run riot,"na. 猎狗认错猎物臭味乱跑；〔转义〕追来追去；越出常轨；放纵自己的想像
"
run short,"na. 用完；缺乏
"
run through,"na. 穿过；匆匆忙忙看一遍；不间断地排练；花光
"
run to,"na. (数量等)达…；陷于(毁灭,衰亡等)
"
run up,"na. 抬高(市价等)；升(旗等)；造；增加(费用,债款等)
"
run the risk of,"v. 冒…的危险
"
take the risk of,"un. 冒…的危险
"
rush into,"un. 一拥而上；冲进；投到；推行
"
rush off, 匆忙走掉；冲出；匆忙离开
rush through,"v. 匆匆完成
"
sacrifice for, 牺牲；为…而牺牲；献出
sacrifice to,"向…祭献; 为…牺牲〔奉献〕…, 舍弃…以得到…"
saturate ... with, 使充满；使饱和；使大量吸收或充满某物
save for,"v. 除了…而外；例外
"
save on, 节省；节约；节省，节约
scale back,"na. 相应缩减
"
scale down,"na. (按比例)缩减；【无线】分频；“scale back”的变体
"
scare sb. stiff,"vt.使...极其害怕,使...非常紧张"
scout around for,到处寻找
scout about for, 到处搜索；到处搜寻；到处寻找
scramble for, 争夺；争抢；争先恐后
scrape by, 勉强度日；勉强维持；勉强过日子
scrape through,"na. 好容易完成；(考试)勉强及格；勉强对付过去；勉强通过
"
scrape together,"na. 一点一点地贮蓄；设法凑拢
"
scrape up,"na. 一点一点地贮蓄；设法凑拢
"
scream for, 强烈要求；为……而尖叫；为了…尖声地叫喊
screw up,"na. 拧紧；钉上；卷成螺丝状；扭歪(嘴,脸等)
"
search for,"na. 寻找；寻求；探求
"
see that, 务必；注意；要注意使
see to it that, 保证；务必；务必要
see about,"na. 注意；查看；查询；留意于
"
see eye to eye,"na. 看法一致
"
see sb. off,"na. 送行；送别；告别；赶走
"
see out,"na. “see through”的变体
"
see through,"na. 看穿；看透；识破；办好某事
"
see to,"na. 注意；留心；当心；检查
"
see with half an eye,"na. 一看就明白[了解]
"
seek out,"na. 找出；寻求；想获得
"
seize on,"na. 猛扑；袭击；利用；采用(提议)
"
seize upon,"na. 猛扑；袭击；利用；采用(提议)
"
sell off,"na. (打折扣)销完；卖清(存货)
"
sell out,"na. 卖完；脱销；背叛；〈美口〉欺骗
"
sell up,"na. 拍卖；变卖(债务人的财产以抵债)
"
send away,"na. 撵走；开除；解雇；把…送到远处
"
send for,"na. 派人去叫[请]；遣人去拿；乞求
"
send in,"na. 拿出；提出；递(名片)；送
"
send out,"na. “send forth”的变体
"
senior to,"adj. 年长于
"
sense of responsibility, 责任感；责任心；责任意识
serve as,"v. 用作；充当
"
serve sb. right,"na. 给(某人)该得的待遇
"
set a good example, 树立榜样；树立好榜样；树立好的榜样
set about,"na. 动手；开始；下手；着手
"
set apart,"na. 分开；分离；留出(充当别用)
"
set aside,"na. 搁置；拨出；驳回
"
set back,"na. 阻碍；延迟；〈非正式〉花费
"
set down,"na. 记入；登记；定；设
"
set fire to,"na. 点燃；放火
"
set foot in,"na. 进入；“set foot on/in”的变体
"
set forth,"na. 公开；发行；公布；陈述
"
set free,"na. 释放；【化】使游离
"
set in,"na. 固定；停当；涨潮；进来
"
set off,"na. 分；分割；划开；区划
"
set one's heart on,"un. 使得…垂头丧气；热衷；下定决心
"
set out,"n. 开始；出发；动身；准备
"
set the pace,"na. (给…)作步调示范；定出速率；树立榜样；领先
"
set up,"na. 建立；创立；发起；开办
"
set ... in motion,"na. 使动；开动
"
put ... in motion,"na. 使动；开动
"
settle down,"na. 定居；成家；移居；平静下来
"
settle for,"na. 满足于
"
settle in,"na. 定居；殖民；搬入(新住所)；使某人搬进(新住所)
"
settle into,"un. 安置安置；陷入
"
settle on,"na. 决定；选定；授与；赠与(财产,遗产等)
"
settle upon,"na. 决定；选定；授与；赠与(财产,遗产等)"
settle up,"na. 决定；解决；支付
"
sew up,"na. 缝拢；缝合；把…缝入；缝进
"
shade into, 逐渐变为；渐渐变为
shake down, <美，口>彻底搜查; 勒索; 使因摇晃而下落; <英，非正> 适应新的生活环境[新的工作]
shake off,"na. 抛弃(坏习惯)；摆脱(坏朋友)；推开；拆开
"
shake one's belief,无
shed light on,"na. 阐明；解释；将…弄明白；照亮
"
shove off,"na. (拿篙子)把船撑开；〔美俚〕乘船离开；走掉
"
show off,"na. 卖弄；〈贬〉自以为是；趾高气扬；炫耀
"
show sb. out,"na. 送出(客人)
"
show sb. in,"na. 领进(客等)
"
show respect for, 对…表示尊重；尊敬；尊敬某人
show up,"na. 显眼；揭发；嘲笑；露面
"
shrink away from,无
shrink back from, 退缩；畏缩
shrug off,"na. (耸肩)表示轻蔑[不屑]；摆脱；扭身脱掉(衣服)
"
shut down,"na. 关闭；关拢(窗等)；停业；禁止
"
shut in,"na. 监禁；围住；遮住；迫近
"
shut off,"na. 阻断；使隔开
"
shut out,"na. 不让进来；遮得看不见；【棒球】不让得分
"
shut up,"na. 关住；监禁；密封；停止
"
side by side,"na. 并排着
"
side with,"v. 援助；偏袒
"
sign in,"v. 签到；登记；当你归还某项借出的物品时；在名单上签字以获得入场资格
"
sign on,"na. 签字聘用[就聘]；签字承认；作工作记录
"
sign up for, 报名参加；学生会报名；注册，选课
single out,"v. 挑选出；精选出
"
sink in,"un. 晕倒；西斜；渗入；打进心坎
"
sit back,"na. 松劲休息；不活动
"
sit for,"na. 〈英〉参加(学位,奖学金等)考试；作…候选人；坐着
"
sit in,"na. 占座抗议
"
sit out,"na. “sit through”的变体
"
sit through,"v. 耐心听完
"
sit up,"na. 【体】仰卧起坐
"
size up,"na. 够标准；估量；〔口语〕品评
"
sketch out,"v. 拟订出
"
slacken off,"un. 松劲
"
sleep through, 未被吵醒；睡过了；惊醒
slim down, 消瘦；减肥；瘦身
slip into,"na. 急急穿上；〔俚语〕痛殴；竞赛；攻击
"
slip out,"un. 穿上；通过；伸到；一溜烟走出
"
slip up,"na. 滑一跤；〔美国〕弄错；失败
"
slot in, 吸入式进碟；槽插式；穿带
slot ... into, 踏进
slow down,"na. 闲下来；减缓；放慢速度；减速
"
smooth down,"v. 烫平
"
smooth over,"na. “smooth away”的变体
"
snap at,"v. 骂
"
snap out of,"un. 怒气冲冲；震飞
"
snap up,"na. 咬住；突然插嘴
"
snatch up,"v. 抢夺
"
sneak out,"un. 淡出；渐隐
"
sneak away,"v. 潜逃
"
sniff out,"na. 闻出；〈非正式〉发现
"
so as to,"na. (= in order to) 以便；为使
"
so far,"na. 就是那么些；到现在为止；到目前(此地)为止；就此范围来说
"
so ... as to,"na. (= in order to) 以便；为使
"
soak up,"v. 吸取
"
sober up,"un. 使清醒；使不醉:
"
something of,"na. 在某种意义(或程度)上
"
sort out,vt.& vi. 把…安排妥当; （从…中）区分出来，辨别出来; 分类; 整理; 整顿; 解决
sort through,"v. 寻遍
"
sound out,"v. 试探；打听
"
spark off,"v. 引爆
"
speak for,"na. 代表…讲话；订购；要求得到
"
speak highly of,"na. 称赞；赞扬
"
speak out,"na. 大声讲；老老实实讲
"
speak up,"na. “speak out”的变体
"
speak well of,"na. 称赞；“speak well for/of”的变体
"
specialize in,"v. 专攻；专门研究
"
speculate about,"v. 思考
"
speculate on,"v. 思考
"
speed up,"na. 加快(机器等的)速度；使加紧做
"
spell out,"na. 详细说明；【印】正式拼写
"
spill out,"v. 泄露出来
"
spin out,"na. 拖延；使(钱等)勉强再维持一段时间；磨度过；使汽车作回形滑行
"
spit at,"向...吐唾沫, 对...表示藐视, 对...表示憎恶, 对...表示侮辱"
spit on,"na. 藐视
"
spit out,"na. 同“spit”
"
split up,"na. (使)分裂；〔美俚〕吵架；同“split”
"
sponge off,"un. 用海绵洗涤
"
sponge on,"v. 揩油
"
spread out,"na. 张开；铺开；扩张；同“spread”
"
spread over,"na. 〈英〉(根据特殊需要而作的)部分工时调整
"
spring up,"na. 跳上来；发生；萌芽；出现
"
sprout out,无
sprout up, 出现
spy on,"v. 探听
"
stab in the back, 背后插刀；背后捅刀子；背后中伤
stake on, 把赌注押在…上面，在…上打赌
stand back,"na. 靠后站
"
stand by,"na. 袖手旁观；站在旁边；待机；等待
"
stand down,"na. 【法】退出证人席位；暂时辞退；【军】不在值勤中
"
stand for,"na. 〈口〉忍耐；忍受；主张；拥护
"
stand out,"na. 突出；显著；不参加战争；抵抗到底
"
stand up for,"na. 拥护
"
stand up to,"na. 抵抗；反抗；反对；经得起
"
stand up,"na. 站起来；持久；露头角；〔美俚〕背约
"
stare at,"na. 瞪着看
"
start from scratch,"na. 赤手空拳地开始；从起步线跑；从零开始；从头做起
"
start off,"na. 动身
"
start on,"un. 开场；开拓
"
start out,"na. 跳出；开始；〔俚语〕企图
"
start up,"n. 创办中的公司；开机
v. 开办；发动(机器,引擎等)
adj. 新开张的
"
start with,"v. 以…开始
"
status quo,"n. 现状；原来的状况
"
stay away from,"un. 退避三舍；回避；不要到…去；停止和…交往
"
stay off,"v. 远离
"
stay out,"na. 不干涉；(在外头)不回家；不在家；坚持到
"
stay put,"na. 安装牢固
"
stay up,"na. 不去睡觉；不沉
"
steam up,"na. (玻璃)蒙上蒸汽而模糊；制造蒸汽；〈口〉拿出精神；鼓励
"
steer clear of,"na. 机灵地脱身
"
stem from,"v. 出于；基于
"
step by step,"na. 一步一步；切切实实
"
step in,"na. 调停；介入；挤进；走进
"
step into,"v. 走进
"
step out,"na. 下(车)；走出屋外；放大脚步；辞职
"
step up,"v. 加紧；走上前；登上；增加
"
stick around,"v. 粘在旁
"
stick out,"na. 突出；伸出手臂；伸展；(因为与众不同而)容易识别
"
stick to,"na. 忠于
"
stick with, 坚持；继续支持；坚持做
stir up,"v. 转播；重播；搅拌；煽动
"
stop off,"na. 中途下一下车；用砂填塞(铸模的一部)；〔英口〕进监牢
"
stop over,"na. 中途下车；暂留；住在海外；同“stop off”
"
store up,"na. 贮藏；记住
"
straight away,"adv. 马上
"
straight off,"na. 立刻；“right/straight off”的变体
"
straight out,"na. 露骨
"
straight up,"un. 真的
"
stream into,无
strike terror into,"使......感到恐慌
使......感到害怕"
string out,"na. (使)节目拖长；行列长达
"
string up,"na. 挂起
"
strive for,"v. 争取；奋发图强；收下
"
struggle for,"v. 争取
"
struggle with, 与…斗争；与…作斗争；和…斗争
stuff ... with sth.,"v. 填入
"
stumble on,"un. 踌躇地转着；碰上
"
stumble upon,"un. 踌躇地转着；碰上
"
stumble across,"un. 踌躇地转着；偶然发现
"
submit ... to,"un. 使某人忍受某事:
"
submit to,"un. 使某人忍受某事:
"
subordinate to, 从属于；次要的；从属的
subscribe to,"v. 同意；赞成；订阅；定期捐款
"
substitute for,"v. 取代；替代
"
succeed in,"v. 成功于
"
sue for,"v. 诉讼要求
"
suffer from, 患（某种病），受（某种病痛）折磨; 因…而受罚[苦，损]; 闹; 罹
suffice to say,"可以说
只用说"
suffice it to say that,"v. 满足…的需要
"
sufficient for, 足够的；满足；足以
sum up,"na. 〈口〉概括；总结
"
summon up,"na. 鼓起(勇气等) (to do； for)
"
superior to,"adj. 胜过；优于
"
superiority in,无
swear at,"na. 臭骂；〔俚语〕(颜色)和…完全不调和
"
swear by,"na. “swear before”的变体
"
swear sb. in,"na. 使宣誓就职
"
sweep in,"un. 猛袭过来；顺利通过大选
"
switch on,"v. 打开；接通；参见
"
switch off,"na. 不收听(某一广播)
"
sympathize with,"v. 同情
"
take a breath, 深呼吸；深深地吸一口气；喘口气
take a chance,"na. 冒险一试
"
take a fancy to,"na. 爱好
"
take a gamble, 冒险从事；得不赌一把；冒风险
take a page from,无
take a stand,"na. 困守(城池等)；立定脚跟
"
take a tough line,"采取强硬措施
采取强硬路线"
take a turn for the worse,"v. 情况转坏
"
take aback,vt. 使吃惊；惊吓
take account of,"na. 考虑
"
take action,"na. 动手；采取行动；采取(快速)措施；提起诉讼
"
take advantage of,"na. 乘；利用；欺骗；引诱(女人)
"
take after,"na. 尾随；仿效；像
"
take apart,"na. 分解；拆分；剖析
"
take away,"adj. 买回去的
"
take care of,"na. 照看；处理；清除
"
take charge of,"na. 看守
"
take control of, 控制；掌管；取得对……的控制
take cover,"na. 躲避；利用[凭]掩护物；隐蔽
"
take delight in,"na. 对…感觉愉快[快乐]
"
take down,"na. 扯下；卷起；记下；卸下
"
take effect,"na. 有效验；生效
"
take exception to,"na. 对…提出异议
"
take in stride,淡然处之
take in one's stride,轻而易举地做某事
take in,"na. 加以考虑；〔美国〕访问；收进；收容
"
take sb. into one's confidence,向…吐露心事; 以…为心腹
take it easy,"na. “take things easy”的变体
"
take its toll, 造成损失；造成伤亡；伤害某人
take notes,"na. 做记录
"
take notice of,"v. 注意；理会；留心
"
take occasion to do,"抓住…的好时机,乘机…"
take off the gloves,"na. (争吵)认真起来
"
take off the gloves to sb.,vt.不饶
take office,"na. 就职
"
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
"
take ... on oneself, 主动承担；把归咎自己；把归咎自己擅自
take ... upon oneself,"na. 负担；毅然
"
take one's breath away, 令人咋舌；大为惊讶；目瞪口呆
take one's time,"na. 从容
"
take out,"na. 取出；带出(散步等)；除去(污点等)；取得(专卖权等)
"
take over,"na. 接管；继承
"
take pains,"na. 费苦心；尽力
"
take place,"na. 发生；举行
"
take pride in,"na. 以…自豪；对…感到满意
"
take priority over,vt.比...优先
take risks,"un. 冒险
"
take chances, 冒险；冒一冒险；碰碰运气
take root,"na. “strike root”的变体
"
take shape,"na. 成形；形成；具体化；有显著发展
"
take steps,"na. 采取措施
"
take sth. into consideration,"v. 顾及
"
take the blame,"na. 背过；受责难
"
take the lead,"v. 率先
"
take the place of,"na. 接替某人的位置
"
take the plunge,"na. 冒险尝试；蛮干；毅然从事
"
take to heart,"v. 非常关心
"
take to,"na. 嗜好；开始；参加；逃入
"
take turns,"na. 替换
"
take up,"na. 拿起；举起；拾起；给搭(火车等)
"
take your time, 慢慢来；别急，慢慢来；别着急
take ... as,"un. 剖析；视为
"
take ... for,"na. 认为；当做；弄错
"
take ... for granted,"v. 想当然
"
take ... into account,"na. 考虑
"
take ... into consideration,"v. 顾及
"
take one's cue from,"na. 得到某人的指点[暗示]
"
follow one's cue from,无
take a nap,"na. 睡午觉；打一个瞌睡
"
get a nap,无
have a nap,"na. 睡午觉；打一个瞌睡
"
take a hand in,"na. 参加
"
have a hand in,"na. 干与
"
take interest in,"na. 对…感兴趣
"
have interest in, 有兴趣；对……感兴趣；是在某方面有兴趣
feel interest in,无
take an interest in,"na. 对…感兴趣
"
have an interest in,"v. 对…有兴趣
"
feel an interest in,无
take no interest in,"un. 对…感兴趣；对…毫不感兴趣
"
have no interest in,对…不[不太]感兴趣
feel no interest in,对…不[不太]感兴趣
take ... to heart,"v. 非常关心
"
lay ... to heart,牢记
talk back,"na. 回嘴；反复重说；反唇相讥
"
talk sb. into doing,无
talk sense,"na. “speak sense”的变体
"
tangle with, 争吵；纠葛；与…争吵
tear down,"na. 拆毁；扯下；猛冲
"
tear up,"na. 撕碎；连根拔起；扰乱；跑上
"
tell a lie,"v. 说谎
"
tell sth. apart,"na. 辨别
"
tell sb. apart,"na. 辨别
"
tend to,"v. 倾向于；有助于
"
tend to do, 倾向于做某事；倾向去做某事；倾向做某事
tender for, 出某种面值的钱买；投票做某事
testify to,"v. 证明；证实
"
thanks to,"v. 感谢；幸亏；多亏
"
that is,"na. 即；用于纠正之前说过的内容
"
i.e.,"adv. 也就是
abbr. （拉丁）即（id est）"
the bulk of,"adj. 大多数；大部分
"
the moment,"na. (= as soon as)一…(就)
"
the moment that, 一…就
the writing is on the wall, 不祥之兆；不祥预兆；结果已经可以预知
there and then,"na. “then and there”的变体
"
think about,"un. 思考；探讨；为…费心思；想像
"
think back to, 回想；回想过去；回忆起
think better of,"na. 经考虑后决定不做(某事)；对…有较高评价
"
think highly of,"na. 尊重；评价极高
"
think poorly of,"na. 不佩服
"
think of ... as, 把…认为是；看作；把…当作
think over,"v. 仔细考虑
"
think through,"na. 仔细考虑；全面考虑
"
thirst for,"v. 非常想望
"
throw light on,"na. 弄明白
"
throw light upon, 阐明，使…清楚
throw a light on,"vt.帮助说明,阐明"
throw a light upon,"vt.阐明,有助于说明"
throw away,"na. 抛弃；浪费；拒绝(劝告)；失去(机会)
"
throw off,"na. 摆脱(习惯,拘束等)；抛弃；脱掉(衣服)；甩掉
"
throw up,"na. 呕吐；抛上；急造；丢弃
"
thumb through,"na. 翻查一过
"
tick away,"v. 滴答作响
"
tick by,过去滴答声过去
tidy up,"v. 整理干净
"
tie up,"na. 绑；系；包扎；(船只)系泊
"
time and again,"na. “time after time”的变体
"
tip off,"na. 向…透露消息，泄密；暗中通知某人；(把水等从器皿中)倒干净；使…掉下来；〈俚语〉杀死
"
tire out,"na. 使疲倦到极度
"
to a certain degree,"na. 在某种程度上；到某种程度；相当
"
to a certain extent,"na. “to a certain degree”的变体
"
to all intents,无
to all intents and purposes,"na. 无论从哪一点来看
"
to and fro,"na. 前前后后
"
to be frank,"na. “to be honest/frank/serious”的变体
"
to begin with,"na. 首先；本来〔插入语〕
"
to start with,"na. 首先
"
to date,"na. 至今
"
to excess,"na. (吸烟)过度
"
to one's heart's content,"na. 尽情
"
to one's relief,无
to some extent,"na. 在某种程度上
"
to start with,"na. 首先
"
to the best of one's ability,"na. 竭力
"
to the contrary,"na. 反对地
"
to the letter,"na. 严格按照字句；详细知道；了如指掌
"
to the point,"na. 露骨；中肯
"
together with,"na. 和…一起[合起来]
"
tone up,"na. 提高；变强；同“tone”
"
top out,"un. 最高达；上部建筑；停止爬升；达到顶点
"
top tier, 当之无愧的一流商学院；顶级；顶尖的
touch on,"na. 说到
"
touch upon,"与...有关, 涉及..., 提到..., 提及, 谈及"
touch up,"na. 润色；完成；用鞭等轻轻打(马)；轻轻打痛
"
trace back to,"v. 追溯
"
trail away, 散去; （声音）逐渐变弱
trail off,"na. (声音)逐渐消失；“trail away”的变体
"
trifle with,"un. 玩弄；心不在焉地做；摆弄:；戏弄:
"
tuck away,"na. 藏起
"
tuck in,"na. 〈非正式〉大吃一顿；掖被子；塞入；折进
"
tumble to,"v. 领会；了解
"
tune in,"na. 调谐；收听；〔美国〕开始
"
tune in to sth.,"v. 拨；收听
"
turn a blind eye to,"na. 对…熟视无睹；假装不见
"
turn a deaf ear to,"na. 充耳不闻；装听不见[置若罔闻]
"
turn about,"na. 转身；立场改变；叛变；叛徒
"
turn around,"na. 转身；〈美〉使向好的方向转变
"
turn away,"v. 转变方向
"
turn back,"na. 同“turn down ”
"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
"
turn into,"v. 变成
"
turn off,"v. 关掉
"
turn on,"na. 转向；对…进行突击
"
turn one's back on,"na. 不理睬；丢弃；逃出
"
turn out,v. （以某种方式）发生；最后是；结果是 （尤指天气突然）变得（晴好） 原来是；结果发现 出席;参加;前去观看关掉，熄灭（电灯、煤气等） 出席;参加;前去观看生产；制造 （尤指把某人从其长期居住处）撵走，赶出，逐出 翻出；倒出 出席；参加；前去观看
turn over,"na. ￡ 500 a week 每星期卖得五百镑
"
turn the corner,"na. 转弯；度过危机；情形好转；拐过街角
"
turn to,"v. 向(某人)求助；求助于
"
turn up,"v. 朝上翻；出现
"
twist one's ankle,无
under any circumstances,"un. 不管怎样；无论如何
"
under control,"un. 失去控制；被控制住；克制；在控制之下
"
under discussion,"un. 正在讨论中
"
under no circumstances,"na. 无论如何不
"
under pressure,"un. 在压力下
"
under suspicion,"na. 被怀疑
"
under way,"na. 进行着；【航海】航行中
"
up and down,"na. 忽上忽下；各处；来来去去；升降浮沉
"
up in the air,"na. 悬而未决的
"
up to,"na. 干(着)；到；胜任；…的责任
"
use up,"na. 用完；耗尽
"
vary from,"v. 不同于；不等于
"
vice versa,"adv. 反之亦然；反过来也一样
"
view ... as,"把...看作..., 认为...是..."
vote against,"v. 投票反对
"
vote for,"na. 赞成；〈口〉建议
"
wait for,"na. 等；等待
"
wait on,"v. 等着
"
ward off,"v. 挡开；架开
"
warm up,"na. 加热；变暖；热中起来；【运】作准备动作
"
warn sb. of sth.,"na. 警告(某人)有危险
"
watch out,"na. 当心；留神；小心；提防
"
watch over,"na. 监视；留心；看护
"
wave aside,"na. 挥手使站开；挥手拒绝[排斥]
"
wave at,朝…挥手(致意)
wave goodbye to, 告别
wear off,"na. (精力)衰退；(衣服等)渐破
"
wear out,"na. 精疲力尽；用坏；穿破；磨破
"
wear thin, 逐渐消失；磨薄；减弱
wear well,"na. 经用；显得年轻
"
weed out,"na. 肃清；〈美〉恣意多取(自己不该分取的利益等)
"
weigh down,"na. 使负重担；压迫
"
weigh up,"na. 称量；称出；重得使另一头翘起来
"
weigh ... against,"v. 影响；不利于；比…重要
"
when it comes to, 一谈到；当提到；当谈到
win over,"na. 争取过来
"
wind up,结束；使紧张；卷起；（非正式）忽悠某人（wind sb up）；上紧(钟、表等的)发条
wink at,"na. 对…使眼色；假装没看见
"
wipe out,"na. 擦去；【无线】遮蔽；遮蔽地域；【信】封闭
"
wish for,"v. 希望；想要
"
with a pinch of salt,"na. 有保留地
"
with a grain of salt,"na. 有保留地；不全信地
"
with a vengeance,"na. 猛烈地；彻底地；过度地
"
with a view to,"prep. 为了
"
with assurance,"na. 凭自信
"
with confidence,"na. 很有把握地
"
with ease,"na. 轻易地；容易
"
with great passion,无
with one accord,"na. 一致地
"
with one's consent,无
with respect to,"na. 〈正式〉考虑到
"
with the exception of,"na. 除…外
"
with the help of,"prep. 借助于
"
with the purpose of,"prep. 目的为
"
with regard to,"na. 关于；对于；为了答复；“in/with regard to”的变体
"
in regard to,"na. “in regard of”的变体
"
without permission,"na. 未经许可
"
without prejudice,"na. 无偏见；【法】不违背；不使(合法权利等)受损害
"
without prejudice to, 不损害；在不影响…的情况下；在不损害合法权利的前提下
without restraint,"na. 无拘束地；放纵地
"
word for word,"adv. 逐字翻译
"
word by word,"adv. 逐字
"
work as, 当；担任；担任…工作
work for,"na. 被…雇用着；为…尽力；参加
"
work off,"v. 渐渐消除
"
work on,"na. 对…有效[有作用]；动(人,感情等)；向…做工作；左右
"
work out,"v. 作出；拟定；制定；计划一下
"
work up,"na. 刺激；煽动；刻苦完成；展开(故事的情节)
"
work with,"na. 打动
"
worry about,"v. 发愁；担忧；为…发愁；替…担忧
"
would rather ... than,宁愿...而不愿
wrap up,包裹；圆满完成；（使）穿得暖和（wrap somebody/yourself up）；注意力完全集中于……
write off,"na. 注销(债款等)；报废；提笔就写(文章等)；减低资产账面额
"
yield to,"v. 服从；屈服于；弯曲
"
zeal for,"v. 热心于
"
